type,value,source
ip,91.149.253.20,CISA:Object-b624fcd1-5a93-4fdd-a024-cad715e5f636
ip,70.34.254.245,CISA:Object-c72b9fc9-d398-4453-a6f8-9b4f6ae1584f
ip,91.149.253.198,CISA:Object-3e8a4bea-afef-4999-aa76-1ca304f839c5
ip,70.34.253.247,CISA:Object-592cdf49-698e-4885-bc86-b6252f6ea6ae
ip,213.134.184.167,CISA:Object-69bd0416-82f8-4dd3-ab8e-dbfcf3b1bede
ip,91.149.253.118,CISA:Object-a5b4dc3c-1e5c-415c-81f3-5ce458a186f6
ip,70.34.253.13,CISA:Object-252626fb-c03a-41e0-bc0b-4b2807a0e721
ip,212.127.78.170,CISA:Object-dd6b183b-ef36-4822-8274-2da77725c7dc
ip,91.149.223.130,CISA:Object-1d026924-1516-45eb-81ca-397908939520
ip,70.34.252.222,CISA:Object-ff31302e-380b-483e-9c6a-6f3c3522714f
ip,194.187.180.20,CISA:Object-3cc9c914-9baf-4341-af73-83da74e5576e
ip,91.149.219.23,CISA:Object-2e904881-c9e9-454a-b55d-da1d3d3fe010
ip,70.34.252.186,CISA:Object-a1762ff3-e6b1-45e1-acb4-fdd04ee25e4b
ip,192.162.174.67,CISA:Object-aab3a971-2c62-4acc-a47d-1e3dda480a15
ip,91.149.219.158,CISA:Object-02063251-5c19-43fd-b061-8c902d0de2b9
ip,70.34.252.168,CISA:Object-08daf554-ce48-4bf8-a286-b297ea605eca
ip,185.234.235.69,CISA:Object-bac2e002-f0fd-496e-a8a5-a3d4d990853e
ip,91.149.203.73,CISA:Object-0543d802-3cb8-417f-8ae5-fbcda5b7809c
ip,70.34.245.215,CISA:Object-955c2850-e18f-4e04-aa97-f2a7ad6d952f
ip,178.37.97.243,CISA:Object-324c1b9b-9ba4-41e3-ba1a-c8b8da1b7521
ip,91.149.202.215,CISA:Object-ce80ed2f-c9bd-468a-a2cc-a11ff9470974
ip,70.34.244.100,CISA:Object-4ae0a6d5-c6ab-47ec-9916-5326b91de1c9
ip,178.235.191.182,CISA:Object-2fc982a3-3499-4ed3-8792-47eedfc5d57a
ip,90.156.4.204,CISA:Object-1e16d2ec-8041-48b3-a17e-bff64fbeab24
ip,70.34.243.226,CISA:Object-6667f1c1-6f5f-4ec8-a7bb-c0e45befe060
ip,147.135.209.245,CISA:Object-26cebcbd-583b-4db6-97c5-afbc636fed17
ip,89.64.70.69,CISA:Object-bb1f4ce6-2991-4b61-84d3-437c59888338
ip,70.34.242.220,CISA:Object-05b3b3f2-4af4-47f9-b201-233246b9f253
ip,138.199.59.43,CISA:Object-bfe5c7b7-f7f0-4386-8a58-a956dd9d87ed
ip,83.29.138.115,CISA:Object-c5d8f24b-69a1-41cf-9eae-f07140637197
ip,64.176.71.201,CISA:Object-da5138f3-5511-4821-920f-fc02357fc746
ip,95.215.76.209,CISA:Object-50092235-45f2-4de0-8c2b-f9ea748f1c04
ip,83.23.130.49,CISA:Object-4fa06e3e-e96a-4c5e-b9a8-c6785b118518
ip,64.176.70.238,CISA:Object-feebe453-51e3-45be-9b47-ca1930de42b6
ip,93.105.185.139,CISA:Object-62c7e451-0163-4012-8d3e-5f151f8ea3e9
ip,83.168.78.55,CISA:Object-52952c8c-ad6d-409d-a212-550f6a0efb87
ip,64.176.70.18,CISA:Object-9a0451df-3798-4f61-a0ec-02213a2e37c5
ip,91.221.88.76,CISA:Object-b6abd6ab-3faa-4f8e-98db-3b60b48d6a40
ip,83.168.78.31,CISA:Object-6c824bc4-1193-46ef-bbbe-f85768139107
